epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,1868.53,0.90156,0.89748,0.01354,0.94345,0.91613,0.97295,0.82666,0.6675,0.38382,0.01233,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,1893.86,0.90592,0.93474,0.01344,0.92079,0.93883,0.97035,0.81779,0.69657,0.36308,0.01287,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,1919.19,0.90844,0.8975,0.01363,0.92999,0.94522,0.97661,0.83041,0.67863,0.32556,0.01249,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,1944.59,0.90046,0.89485,0.01363,0.91813,0.92518,0.97606,0.813,0.71242,0.35691,0.0134,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,1969.91,0.89225,0.86185,0.01343,0.9232,0.92812,0.97632,0.82903,0.67047,0.34216,0.01259,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,1995.52,0.91275,0.87608,0.01405,0.91751,0.95472,0.97975,0.82291,0.71209,0.3418,0.01354,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,2021.14,0.91734,0.85838,0.01361,0.94745,0.93132,0.97765,0.83207,0.68593,0.31448,0.01268,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,2046.96,0.88646,0.85178,0.01324,0.93664,0.92873,0.97558,0.83012,0.68639,0.33606,0.01286,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,2072.31,0.89261,0.87406,0.01335,0.92595,0.93949,0.97872,0.82854,0.67366,0.30547,0.01248,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,2097.98,0.90268,0.85468,0.01344,0.91996,0.96667,0.98165,0.83121,0.68052,0.29417,0.0127,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,2123.54,0.87896,0.84066,0.01323,0.93371,0.93824,0.97716,0.83438,0.68197,0.31547,0.01299,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,2149.24,0.87199,0.83057,0.01313,0.92372,0.92947,0.97174,0.82613,0.67812,0.34688,0.01277,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,2175.11,0.8746,0.81793,0.01294,0.94472,0.9268,0.97924,0.83325,0.68177,0.32632,0.01253,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,2200.98,0.89545,0.8201,0.01331,0.91608,0.95754,0.98305,0.84216,0.66354,0.3098,0.01247,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,2226.71,0.88265,0.82299,0.01329,0.95377,0.9223,0.98327,0.83395,0.68301,0.31749,0.01303,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,2252.06,0.88708,0.848,0.01322,0.93856,0.94457,0.98083,0.82931,0.67438,0.31688,0.01263,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,2277.31,0.87892,0.81117,0.01285,0.92051,0.94817,0.97759,0.82886,0.67517,0.31946,0.01275,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,2302.77,0.88129,0.78398,0.01273,0.93545,0.93927,0.98176,0.83568,0.66852,0.30213,0.0124,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,2328.33,0.86531,0.8033,0.01255,0.92639,0.94922,0.97968,0.83717,0.6514,0.32123,0.01194,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,2353.78,0.8558,0.78775,0.01261,0.94825,0.95425,0.98602,0.84328,0.66928,0.28745,0.01256,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,2379.49,0.85338,0.7891,0.01307,0.95275,0.94114,0.9809,0.83756,0.68175,0.30471,0.01273,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
93,2405.46,0.8766,0.78384,0.01311,0.95407,0.91603,0.97622,0.82918,0.68113,0.32795,0.01259,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
94,2431.26,0.86737,0.81024,0.01278,0.9331,0.92177,0.97367,0.83016,0.67878,0.36961,0.01277,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
95,2457,0.8688,0.79476,0.01267,0.95741,0.9394,0.97885,0.83767,0.65568,0.28613,0.01222,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
96,2482.25,0.8634,0.77273,0.01281,0.96334,0.92119,0.978,0.82848,0.68822,0.31666,0.01274,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
97,2507.8,0.85171,0.77328,0.0126,0.91603,0.95299,0.97994,0.83439,0.6567,0.33301,0.01219,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
98,2533.37,0.86387,0.77332,0.0127,0.94315,0.92763,0.98194,0.83763,0.66204,0.32078,0.01209,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843
99,2558.87,0.86773,0.77873,0.01263,0.94705,0.93462,0.97409,0.83481,0.65998,0.3276,0.01247,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
100,2584.32,0.86747,0.78314,0.01301,0.9518,0.9183,0.97666,0.83155,0.67313,0.32588,0.01266,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
101,2609.97,0.85758,0.77887,0.01265,0.93798,0.95044,0.97795,0.83737,0.65049,0.29916,0.01211,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,2635.66,0.85914,0.7526,0.01273,0.94344,0.94808,0.98101,0.84145,0.65668,0.3024,0.01243,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997
103,2661.29,0.85242,0.74857,0.01276,0.96038,0.94889,0.98174,0.84536,0.66424,0.29035,0.01237,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
104,2686.81,0.85133,0.75762,0.01268,0.9279,0.96657,0.98126,0.83921,0.66959,0.29567,0.01243,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913
105,2712.35,0.84827,0.72226,0.01231,0.95322,0.95028,0.98294,0.83658,0.67249,0.29334,0.01231,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
106,2737.93,0.83862,0.72301,0.01237,0.94807,0.96333,0.98522,0.8482,0.65799,0.27997,0.01227,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
107,2763.57,0.85166,0.77757,0.01284,0.96433,0.95478,0.98079,0.84819,0.64391,0.27566,0.01197,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
108,2789.35,0.85565,0.74663,0.01264,0.94502,0.9484,0.97909,0.84098,0.66751,0.31227,0.01232,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439
