epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2054.52,0.74894,0.89914,0.01105,0.93475,0.8879,0.96733,0.82633,0.63975,0.40256,0.01177,0.000117631,0.000117631,0.000117631
75,2082.17,0.75033,0.86549,0.01108,0.9212,0.89968,0.96957,0.83266,0.62957,0.37924,0.0117,0.000116133,0.000116133,0.000116133
76,2109.81,0.7297,0.84857,0.01068,0.89024,0.92855,0.96554,0.82674,0.62711,0.39093,0.01154,0.000114635,0.000114635,0.000114635
77,2137.77,0.76269,0.88085,0.01145,0.91504,0.90026,0.96586,0.82858,0.63251,0.39307,0.01157,0.000113137,0.000113137,0.000113137
78,2165.5,0.74282,0.86073,0.01064,0.92621,0.90391,0.96746,0.8329,0.61795,0.36784,0.01144,0.000111639,0.000111639,0.000111639
79,2193.13,0.73007,0.85008,0.01066,0.92015,0.90005,0.96927,0.83717,0.61336,0.37755,0.01119,0.00011014,0.00011014,0.00011014
80,2220.69,0.74396,0.86184,0.01094,0.94117,0.90391,0.97554,0.84139,0.62457,0.34958,0.01143,0.000108642,0.000108642,0.000108642
81,2248.17,0.74208,0.83736,0.01065,0.90617,0.93236,0.97177,0.8371,0.61653,0.36306,0.01125,0.000107144,0.000107144,0.000107144
82,2275.89,0.74191,0.83471,0.01085,0.93028,0.90974,0.97157,0.83879,0.62334,0.35742,0.01146,0.000105646,0.000105646,0.000105646
83,2303.48,0.72314,0.80905,0.01053,0.89997,0.94619,0.97744,0.84783,0.60315,0.35381,0.01102,0.000104148,0.000104148,0.000104148
84,2331.12,0.72835,0.80508,0.01047,0.92647,0.89799,0.97327,0.84658,0.60226,0.34468,0.01107,0.000102649,0.000102649,0.000102649
85,2358.68,0.74291,0.82639,0.01076,0.90445,0.91722,0.96797,0.83425,0.62003,0.37445,0.01136,0.000101151,0.000101151,0.000101151
86,2386.23,0.72814,0.7985,0.01065,0.88896,0.92952,0.97046,0.83506,0.62378,0.37535,0.01138,9.9653e-05,9.9653e-05,9.9653e-05
87,2413.79,0.73665,0.82286,0.01073,0.94737,0.90197,0.9754,0.83874,0.62184,0.34556,0.01146,9.81548e-05,9.81548e-05,9.81548e-05
88,2441.23,0.7353,0.80443,0.01055,0.92408,0.92353,0.97359,0.84072,0.61184,0.34735,0.01126,9.66566e-05,9.66566e-05,9.66566e-05
89,2468.66,0.71923,0.7996,0.01016,0.93962,0.91031,0.97478,0.84261,0.62479,0.35595,0.01157,9.51584e-05,9.51584e-05,9.51584e-05
90,2496.29,0.7149,0.77881,0.01017,0.93178,0.91212,0.97564,0.84411,0.6207,0.34914,0.01146,9.36602e-05,9.36602e-05,9.36602e-05
91,2523.81,0.71487,0.78115,0.01033,0.9274,0.92208,0.97454,0.84322,0.61384,0.3639,0.01128,9.2162e-05,9.2162e-05,9.2162e-05
92,2551.59,0.71515,0.76324,0.01066,0.92555,0.90478,0.97115,0.83884,0.61823,0.37009,0.01132,9.06638e-05,9.06638e-05,9.06638e-05
93,2579.11,0.71655,0.77381,0.01051,0.92177,0.90873,0.97249,0.83952,0.61538,0.37334,0.01126,8.91656e-05,8.91656e-05,8.91656e-05
94,2606.76,0.73451,0.75912,0.01062,0.91879,0.91888,0.97257,0.84427,0.60263,0.36447,0.01102,8.76674e-05,8.76674e-05,8.76674e-05
95,2634.31,0.73301,0.7848,0.01039,0.91005,0.92827,0.97188,0.83777,0.61844,0.3581,0.0113,8.61692e-05,8.61692e-05,8.61692e-05
96,2661.98,0.71689,0.77301,0.01038,0.93799,0.90094,0.97034,0.84069,0.60837,0.35139,0.01117,8.4671e-05,8.4671e-05,8.4671e-05
97,2689.55,0.71252,0.77054,0.01027,0.94104,0.90111,0.97366,0.84011,0.61247,0.3568,0.01128,8.31728e-05,8.31728e-05,8.31728e-05
98,2717.16,0.71691,0.77323,0.01034,0.92116,0.92526,0.97539,0.84246,0.61036,0.34497,0.0112,8.16746e-05,8.16746e-05,8.16746e-05
99,2744.76,0.72061,0.75293,0.01029,0.93562,0.91378,0.97506,0.84468,0.60624,0.34105,0.01112,8.01764e-05,8.01764e-05,8.01764e-05
100,2772.08,0.72062,0.75111,0.01044,0.94238,0.92262,0.97595,0.84663,0.60696,0.34709,0.01112,7.86782e-05,7.86782e-05,7.86782e-05
101,2799.55,0.70823,0.7478,0.01023,0.91766,0.92452,0.97563,0.8475,0.60162,0.33906,0.01105,7.718e-05,7.718e-05,7.718e-05
102,2826.98,0.71174,0.74036,0.01022,0.93546,0.92194,0.97334,0.84391,0.60558,0.34632,0.0111,7.56818e-05,7.56818e-05,7.56818e-05
103,2854.33,0.70907,0.74667,0.01037,0.92212,0.91197,0.9707,0.84165,0.61306,0.3618,0.01121,7.41836e-05,7.41836e-05,7.41836e-05
104,2882.16,0.70043,0.7424,0.01026,0.94403,0.9232,0.9767,0.84928,0.60943,0.33033,0.01118,7.26854e-05,7.26854e-05,7.26854e-05
105,2909.9,0.70481,0.71785,0.00999,0.93957,0.92599,0.97688,0.84394,0.60839,0.33142,0.0111,7.11872e-05,7.11872e-05,7.11872e-05
106,2937.54,0.7028,0.7064,0.01022,0.93581,0.93362,0.97646,0.8493,0.60609,0.33222,0.01116,6.9689e-05,6.9689e-05,6.9689e-05
107,2965.12,0.71134,0.75254,0.01053,0.92776,0.93735,0.97809,0.84655,0.60868,0.33333,0.01122,6.81908e-05,6.81908e-05,6.81908e-05
108,2993.11,0.71762,0.732,0.01033,0.95846,0.91631,0.9781,0.8469,0.60652,0.32974,0.01116,6.66926e-05,6.66926e-05,6.66926e-05
109,3020.82,0.70437,0.74613,0.0104,0.95276,0.91922,0.97719,0.85141,0.59996,0.33194,0.01107,6.51944e-05,6.51944e-05,6.51944e-05
110,3048.8,0.70647,0.71349,0.01044,0.9441,0.91939,0.97794,0.854,0.59943,0.33139,0.01093,6.36962e-05,6.36962e-05,6.36962e-05
111,3076.36,0.70891,0.73295,0.01026,0.94418,0.90751,0.97688,0.84796,0.60894,0.33783,0.01115,6.2198e-05,6.2198e-05,6.2198e-05
112,3103.87,0.70607,0.72714,0.01017,0.92884,0.92255,0.9749,0.84605,0.60919,0.34454,0.01111,6.06998e-05,6.06998e-05,6.06998e-05
113,3131.52,0.70514,0.71463,0.01056,0.93363,0.94209,0.97838,0.85008,0.60681,0.33161,0.01113,5.92016e-05,5.92016e-05,5.92016e-05
114,3158.97,0.68853,0.70705,0.00986,0.92562,0.93007,0.9771,0.85055,0.60836,0.33401,0.01117,5.77034e-05,5.77034e-05,5.77034e-05
115,3186.45,0.7003,0.72273,0.01005,0.93876,0.93337,0.9784,0.84967,0.60701,0.33279,0.01111,5.62052e-05,5.62052e-05,5.62052e-05
116,3213.88,0.69956,0.71711,0.01002,0.92916,0.95316,0.97751,0.84768,0.61024,0.32962,0.0112,5.4707e-05,5.4707e-05,5.4707e-05
117,3241.34,0.68472,0.68724,0.00996,0.93746,0.94427,0.97948,0.84855,0.60894,0.31891,0.01109,5.32088e-05,5.32088e-05,5.32088e-05
118,3268.81,0.69055,0.70765,0.00987,0.93044,0.94268,0.97836,0.84937,0.60517,0.32119,0.01109,5.17106e-05,5.17106e-05,5.17106e-05
119,3296.4,0.69172,0.68974,0.01009,0.94907,0.9299,0.97957,0.8489,0.608,0.3212,0.01112,5.02124e-05,5.02124e-05,5.02124e-05
120,3323.94,0.69596,0.73542,0.01024,0.92705,0.93976,0.97729,0.84675,0.60919,0.33293,0.01114,4.87142e-05,4.87142e-05,4.87142e-05
121,3351.69,0.68928,0.6879,0.01013,0.93459,0.92566,0.97766,0.84915,0.60887,0.32749,0.0111,4.7216e-05,4.7216e-05,4.7216e-05
122,3379.23,0.68683,0.67725,0.00992,0.92082,0.93673,0.97744,0.84736,0.61216,0.32917,0.01115,4.57178e-05,4.57178e-05,4.57178e-05
123,3406.63,0.68751,0.68925,0.01004,0.94969,0.91378,0.97849,0.85015,0.60676,0.3323,0.0111,4.42196e-05,4.42196e-05,4.42196e-05
124,3434.08,0.68069,0.7161,0.00985,0.92492,0.93205,0.97597,0.84682,0.60489,0.33464,0.01103,4.27214e-05,4.27214e-05,4.27214e-05
125,3461.83,0.67954,0.66895,0.00993,0.93146,0.91828,0.97643,0.85007,0.60755,0.33256,0.01106,4.12232e-05,4.12232e-05,4.12232e-05
126,3489.68,0.68973,0.68077,0.00984,0.93964,0.92289,0.97916,0.84832,0.60916,0.32486,0.01111,3.9725e-05,3.9725e-05,3.9725e-05
127,3517.37,0.66982,0.68431,0.00958,0.93087,0.9222,0.97829,0.85044,0.60894,0.33452,0.01109,3.82268e-05,3.82268e-05,3.82268e-05
128,3544.81,0.66531,0.6727,0.00964,0.93112,0.93577,0.97834,0.84835,0.61016,0.32925,0.01115,3.67286e-05,3.67286e-05,3.67286e-05
129,3572.27,0.69154,0.70301,0.00987,0.94397,0.90962,0.97818,0.85025,0.60668,0.3333,0.01111,3.52304e-05,3.52304e-05,3.52304e-05
130,3599.82,0.69187,0.69303,0.01017,0.92582,0.93242,0.97799,0.85277,0.60539,0.32416,0.0111,3.37322e-05,3.37322e-05,3.37322e-05
131,3627.27,0.67887,0.67029,0.00984,0.96753,0.90353,0.97733,0.85297,0.60112,0.32711,0.011,3.2234e-05,3.2234e-05,3.2234e-05
132,3654.66,0.67182,0.66282,0.00962,0.96647,0.89737,0.97863,0.84939,0.6021,0.32496,0.01098,3.07358e-05,3.07358e-05,3.07358e-05
133,3682.06,0.68409,0.65642,0.00976,0.90903,0.94358,0.97732,0.85142,0.60522,0.32786,0.01107,2.92376e-05,2.92376e-05,2.92376e-05
